District,Taluka,UC,Deh,Settlement,Latitude,Longitude,Sensitive Receptor (within 200m),SMP,
Dadu,K n shah,Thalo,Jakhro,Jariya,27.139775,67.7572968,,TRDP,
Dadu,Kn shah,Thalo,Jakhro,Gul Mohammad khoso,27.131634,67.7540928,,TRDP,
Dadu,Kn shah,Gozo,Pejhaoo,pejahoo,27.1136395,67.6248426,,TRDP,
Dadu,Kn shah,Gozo,Rap,Gul bung,27.0994297,67.6568263,,TRDP,
Dadu,Kn shah,Thalo,Jakhroo,Hoti lakhair,27.1162295,67.7372809,,TRDP,
Dadu,K n shah,Thalo,Bali Dero,Mubark Bhugri,27.1196446,67.7956932,,TRDP,
Dadu,K n shah,Thalo,Bali Dero,Raza Mohd Dero,27.1248644,67.7724135,,TRDP,
Dadu,Mehar,Qazi Arif,Manjan,Bharia Panhwar,27.2390504,67.7747828,,TRDP,
Dadu,Mehar,Qazi Arif,Kamagar,Sohbat Khoso,27.2443709,67.7444457,Canal to the West of the settlement,TRDP,
Dadu,Mehar,Litan,Litan,Faqeer Muhammad unar,27.241233,67.7120025,,TRDP,
Dadu,Mehar,Khan Jo goth,Khondero,Khan Jo goth,27.2316795,67.6872127,,TRDP,
Dadu,Mehar,Khan Jo goth,Khondero,Mainie,27.2313736,67.6773751,,TRDP,
Dadu,Mehar,Khan Jo goth,Osteelo,Muhammad Yaqoob Solangi,27.2447917,67.6841033,,TRDP,
Dadu,Mehar,Khan Jo goth,Osteelo,Raban faqeer Soomro,27.2514338,67.6808684,,TRDP,
Dadu,Johi,Johi 2,Johi,Bachal Rind,26.6852982,67.6268026,,TRDP,
Dadu,K.N Shah,Fatehpur,Fatehpur,Sainani Lakhair,27.1138252,67.7371754,,TRDP,
Dadu,Mehar,Charo,Charo,Charo,27.2005788,67.6261211,,TRDP,
Dadu,Mehar,Charo,Charo,Aitbar Chandio,27.2053127,67.6338428,,TRDP,
Dadu,Mehar,Kolichi,Lakhriare,Bundo,27.1634827,67.7899735,,TRDP,
Dadu,K N Shah,Fatehpur,Fatehpur,Bajhi Khan Laghari,27.1057931,67.7355198,,TRDP,
Dadu,K N Shah,Fatehpur,Fatehpur,Baji Khan Lagari,27.1065552,67.7365224,,TRDP,
Dadu,Mehar,Mangwani,Mangwani,Sefal faqeer,27.189352,67.7047815,,TRDP,
Dadu,Mehar,Mangwani,Mangwani,Bahwal shaakh,27.1839422,67.7032971,,TRDP,
Dadu,Mehar,Mangwani,Mangwani,Kuram potoojha,27.1710723,67.7052575,,TRDP,
Dadu,Mehar,Mangwani,Mangwani,Bandhi,27.157845,67.7551367,School,TRDP,
Dadu,Johi,Johi II,Johi,Ali Muhammad mugheri,26.6980151,67.6282911,,TRDP,
